大区,服务器,serverid,最低价(元),等级,简介,卖家,商品链接,eid
北京1区,2008,459,39.08,0,成长:1.225 2技能,*****,https://xyq.cbg.163.com/equip?s=459&eid=202606221000113-459-G6PBQPXQNYVN,202606221000113-459-G6PBQPXQNYVN
山东4区,沂水雪山,443,40.00,132,成长:1.237,******,https://xyq.cbg.163.com/equip?s=443&eid=202606220900113-443-FRFZE6OZ6SXY,202606220900113-443-FRFZE6OZ6SXY
浙江2区,西湖龙井,758,42.00,0,成长:1.237 1技能,*******,https://xyq.cbg.163.com/equip?s=758&eid=202606211200113-758-X2R7CVDGO5SA,202606211200113-758-X2R7CVDGO5SA
湖北1区,昭君台,420,42.50,135,成长:1.237,******,https://xyq.cbg.163.com/equip?s=420&eid=202606210000113-420-SDOWP2X6QONS,202606210000113-420-SDOWP2X6QONS
天津区,精武门,55,42.99,126,成长:1.237 1技能,***,https://xyq.cbg.163.com/equip?s=55&eid=202606211200113-55-BHMMNN824NEAV,202606211200113-55-BHMMNN824NEAV
河北2区,燕塞湖,334,43.00,141,成长:1.225 2技能,**********,https://xyq.cbg.163.com/equip?s=334&eid=202606211700113-334-6DHNWRMV3R5E,202606211700113-334-6DHNWRMV3R5E
河北1区,渤海明珠,482,43.50,0,成长:1.225,******,https://xyq.cbg.163.com/equip?s=482&eid=202606212300113-482-EVGTCBTRZOQR,202606212300113-482-EVGTCBTRZOQR
湖南区,橘子洲,275,43.88,30,成长:1.275 1技能,*****,https://xyq.cbg.163.com/equip?s=275&eid=202606220900113-275-P2XQRHDPYWOK,202606220900113-275-P2XQRHDPYWOK
无与伦比,将军,584,43.88,128,成长:1.225,******,https://xyq.cbg.163.com/equip?s=584&eid=202606220000113-584-KWR5ZCFUXEEC,202606220000113-584-KWR5ZCFUXEEC
广东4区,流花湖,358,43.99,136,成长:1.237 1技能,****,https://xyq.cbg.163.com/equip?s=358&eid=202606190900113-358-VBYDQVZVK67Z,202606190900113-358-VBYDQVZVK67Z
