大区,服务器,serverid,最低价(元),等级,简介,卖家,商品链接,eid
北京1区,国子监,3,300.00,180,成长:1.256 5技能 已认证,情怀ジ贰叁两,https://xyq.cbg.163.com/equip?s=3&eid=202605301000113-3-TOUPKEGINZX1EH,202605301000113-3-TOUPKEGINZX1EH
广西2区,黄姚古镇,6,300.00,49,成长:1.269 4技能,梦悠幽！,https://xyq.cbg.163.com/equip?s=6&eid=202303121200113-297-BGWE70IKJYUN,202303121200113-297-BGWE70IKJYUN
江苏3区,花果山,26,300.00,27,成长:1.236 5技能,******,https://xyq.cbg.163.com/equip?s=26&eid=202606212000113-26-IN6RUOUEMM9VG,202606212000113-26-IN6RUOUEMM9VG
深圳2区,世界之窗,39,300.00,21,成长:1.233 4技能,Dearじ灵儿,https://xyq.cbg.163.com/equip?s=39&eid=202604282100113-39-IKYCILNXBHACD,202604282100113-39-IKYCILNXBHACD
天津区,精武门,55,300.00,30,成长:1.257 3技能,粤P丶阿兴仔,https://xyq.cbg.163.com/equip?s=55&eid=202604120600113-55-8UE8TYNSHOAI1,202604120600113-55-8UE8TYNSHOAI1
广东1区,湖光岩,72,300.00,180,成长:1.226 4技能,服战心蛀虫命,https://xyq.cbg.163.com/equip?s=72&eid=202606052200113-72-C2HYNVNF8CNM7,202606052200113-72-C2HYNVNF8CNM7
广东2区,进贤门,77,300.00,180,成长:1.188 7技能 已认证,雪祈晚风而落,https://xyq.cbg.163.com/equip?s=77&eid=202606130200113-77-FGMICHMQAX8L7,202606130200113-77-FGMICHMQAX8L7
广东2区,万绿湖,78,300.00,22,成长:1.183 5技能,娇妻卖艺杀环,https://xyq.cbg.163.com/equip?s=78&eid=202603192300113-78-BVH52RYUICNEF,202603192300113-78-BVH52RYUICNEF
广东4区,流溪河,84,300.00,180,成长:1.276 4技能,醉梦ジ红尘°,https://xyq.cbg.163.com/equip?s=84&eid=202605171900113-84-D0PXQCG3XM8Z9,202605171900113-84-D0PXQCG3XM8Z9
广东4区,白云山,85,300.00,180,成长:1.198 6技能 已认证,ぐ就快忘记你,https://xyq.cbg.163.com/equip?s=85&eid=202605071300113-85-ISW15UQXGM58R,202605071300113-85-ISW15UQXGM58R
